id,address,version,token0,token1,fee,block_number,timestamp
5503,0x09ea3757f726f79ecfc79d0b51f7e74e44a288c6,2,0x0bdfada738644f272612f89a755508e5508f4bfe,0x4200000000000000000000000000000000000006,300,11911192,1710611731
5504,0xcee82a0497f7614e9e6701583afde055f8317f56,2,0x4200000000000000000000000000000000000006,0x5546466fb152a31be67ec46db87ce408e6662ca5,300,11911232,1710611811
5505,0xe77cbc48151161c12ec94503d276168ab16bca38,2,0x1718a88479b45312365901d5539bc4b54f41b0d4,0x4200000000000000000000000000000000000006,300,11911248,1710611843
5506,0x9500e299afb8a53e18168b89a24e5bf1f69aac8d,2,0x4200000000000000000000000000000000000006,0x777e466456fffdfa1c6acdda09337bf77c3e167e,300,11911320,1710611987
5507,0xe00c6c83b1666c713f89b1c53ba285d8bcad1c2e,2,0x4200000000000000000000000000000000000006,0xf2ed474f43cf1b3108ae8d4a79a3026de4a4ecc3,300,11911339,1710612025
5508,0xa343e7d4adc8194d78d091eaaed331771c9e81b7,2,0x4200000000000000000000000000000000000006,0xe0cf4a7bfb8234b9cf6c60cfe970131ff677933a,300,11911366,1710612079
5509,0x8423523aff63700e04ad8affcbdde0364b0a43f1,2,0x183814c970384baf45759c52c0f02804ef2adb2b,0x4200000000000000000000000000000000000006,300,11911371,1710612089
5510,0xafb4552338b15304a7a162ff7e8c468726d772c9,2,0x4200000000000000000000000000000000000006,0xdada2c7636119c8012d24614a9807a7b453bda5c,300,11911388,1710612123
5511,0x7475323e63862d32489d953da8ea073ab5e2194f,2,0x4200000000000000000000000000000000000006,0x43f406202d9185fc5bb572401dbcbef688d5c3c5,300,11911425,1710612197
5512,0xbad2e9b840cfcb43447297593640835935fbe661,2,0x4200000000000000000000000000000000000006,0xc277b840bee64330a0abbddd2f57670b89a82ae1,300,11911548,1710612443
5513,0x3045c7ecc9e48293d6e32288dcaa8c13d8c02221,2,0x2eb6f0dbd02bf1d147b95cd59733a0f5bc4eb3da,0x4200000000000000000000000000000000000006,300,11911573,1710612493
5514,0x1722bc6fcdb8854100aba58141f45069ca306b26,2,0x4200000000000000000000000000000000000006,0xa6c47f0f4138dfe6e8cf66632fd3551f112f1a9e,300,11911748,1710612843
5515,0x79aee4905770f49fcce631c6e28d119cf924a19c,2,0x4200000000000000000000000000000000000006,0xa4be3b4379e54246ee7b536b9cf1180f780a97c1,300,11911824,1710612995
5516,0xca1715738e27ef7d5dd9e82c438469be5cb13265,2,0x4200000000000000000000000000000000000006,0x55cbb75643996e72b89f53d4158b80a2609300e3,300,11911835,1710613017
5517,0xa4bd18d388a0f36897fbee59c97906e17d0d733a,2,0x4200000000000000000000000000000000000006,0x73c2814adb8f3fe7eff7ba8693a976297cd1dc57,300,11911858,1710613063
5518,0x9fbc032275339fd700fbb9ebdf8a998fd8b67b6a,2,0x0e4f330f9f0ef8c902f865fa571f80cf25a52457,0x4200000000000000000000000000000000000006,300,11911926,1710613199
5519,0x4542e96873fbc2a4690559cb3c4a43ebc2421605,2,0x12c3876e5c1273f740ede08dc4eeac1a99b7500d,0x4200000000000000000000000000000000000006,300,11911933,1710613213
5520,0x0fedb82710d879e124773d48ba80fb7dd0dd99a0,2,0x4200000000000000000000000000000000000006,0x73c2814adb8f3fe7eff7ba8693a976297cd1dc57,300,11912043,1710613433
5521,0x31a8d258711e5fdcddd32e4ca48b39e2335a5493,2,0x4200000000000000000000000000000000000006,0xef992a9b903897d0b10d26af0de45d1414ea34ab,300,11912051,1710613449
5522,0xba881baf9e8fa53086550fc610ed003e9fdc6856,2,0x4200000000000000000000000000000000000006,0xb7545570401fbb2eca289492cec9b671edc36439,300,11912075,1710613497
5523,0xd11847d86533be0c9559f0925f80ec010aaef5d2,2,0x4200000000000000000000000000000000000006,0x4acdd8cb82e87d9579f607ea8acf1ae8126e4e10,300,11912082,1710613511
5524,0x0406c27eb9522eab7307e796f9772e6fe47ac4d7,2,0x38132f8cb3728b98cb6426abb65856f59e2bada2,0x4200000000000000000000000000000000000006,300,11912097,1710613541
5525,0x7ecad1564c17aeefdfed79695845cd7ffd282102,2,0x4200000000000000000000000000000000000006,0x6ae3951481631476798f1102b34a406d685a7f44,300,11912156,1710613659
5526,0x830a3df4534b963bda5e0a94ff9ea1e0c7361674,2,0x374ee99e7a619db3d810d539f5e09132ec038f07,0x4200000000000000000000000000000000000006,300,11912162,1710613671
5527,0xe785b2b7d854da881e2432fb4b65e9606eccc04d,2,0x4200000000000000000000000000000000000006,0xc0d48b199e7da0742914bd625b4ff184797d18d9,300,11912324,1710613995
5528,0x0c68d6092c284ac48145907170c4911eb4cf9141,2,0x4200000000000000000000000000000000000006,0x87f76ece85a1df9599d257331144eea55246e71a,300,11912359,1710614065
5529,0xfec29347ccedd0190ff5e6b48ad68bc5f11b09fa,2,0x4200000000000000000000000000000000000006,0xf7a2e47f28cbcd4759840c893c61160e182fd3a1,300,11912406,1710614159
5530,0x566f0f039fa3ff2a5b8aae9b77c93d67900fe821,2,0x38c85e34d3d709cb7b300681ccf69d2757b56f98,0x4200000000000000000000000000000000000006,300,11912585,1710614517
5531,0x8d574b2271be784c5cf088c1eeac0fdaaab0648e,2,0x4200000000000000000000000000000000000006,0xf1a8cd1fa02365e0361cb6d3114486a4e117d6a8,300,11912587,1710614521
5532,0x020e4ad83a4f3cfd6914d4f89fec54301a3bfbfa,2,0x4200000000000000000000000000000000000006,0x5aef8c0fb70728bd4470963ecd4e582b821e70d6,300,11912600,1710614547
5533,0xb747350419fa71b21d673963569400b760bc3d6f,2,0x1c91b8ec1e237193ac0be67f7c89796ce14c28d2,0x4200000000000000000000000000000000000006,300,11912658,1710614663
5534,0xe350e90d97cec4eece3a2d0413068bbfd9159382,2,0x4200000000000000000000000000000000000006,0xfdbf00b478bed2b609eab127b9fcf91275ed1016,300,11912809,1710614965
5535,0x5694064cbd78f933c0afdb84f4cdc34b2ad32347,2,0x4200000000000000000000000000000000000006,0x8262cea77797d815e26acd175d2806a65a3260d7,300,11912938,1710615223
5536,0xbbdbe865806edff72d0e0575a6be492b1e2c927f,2,0x4200000000000000000000000000000000000006,0x558887e5dbc4e913158b03869b1f24a4b01e1c83,300,11912943,1710615233
5537,0xab39b2f845f8fe097935d0ee67946357e731101c,2,0x4200000000000000000000000000000000000006,0x4a370713c772a83946473e25301d7b8b69d15318,300,11912956,1710615259
5538,0x732c203daa75cdac637e9059e3c13c858c3f96cf,2,0x4200000000000000000000000000000000000006,0xfff7af9e64c0a470dec5a8ac3e17471e3ef726b7,300,11912981,1710615309
5539,0x885f577e3e54de29d8186a8cc6279a2a6c4c0e98,2,0x4200000000000000000000000000000000000006,0x44edcc9161f569f84e268f1f62093d261eab1eac,300,11913045,1710615437
